NROEMPRESA;SEQCOMPRADOR;DTAVDA;DOCTOS;VLR_VENDA;LUCRO;VERBA;CATEGORIA
20;9;2026-05-02;436;6926,78;1455,54;0,00;FLV
20;10;2026-05-02;35;634,03;203,89;0,00;BAZAR
20;15;2026-05-02;1;10,00;7,35;0,00;OUTROS
20;16;2026-05-02;123;1848,89;188,40;0,00;LIMPEZA
20;18;2026-05-02;152;2297,75;580,19;0,00;PERFUMARIA
20;1;2026-05-03;208;2749,21;806,60;25,50;PAS
20;3;2026-05-03;350;4054,52;894,49;90,30;SECA DOCE
20;4;2026-05-03;343;3415,94;1063,09;18,65;SECA SALG
20;5;2026-05-03;354;5496,59;1495,99;69,15;PADARIA
20;6;2026-05-03;418;18432,08;2032,60;0,00;AÇOUGUE
20;7;2026-05-03;481;5975,45;917,57;101,90;LIQUIDA
20;8;2026-05-03;354;6681,76;370,49;123,33;COMMODITIES
20;9;2026-05-03;510;7504,28;1604,57;0,00;FLV
20;10;2026-05-03;71;1102,22;352,79;1,50;BAZAR
20;15;2026-05-03;2;7,00;5,15;0,00;OUTROS
20;16;2026-05-03;142;1968,71;309,51;0,00;LIMPEZA
20;18;2026-05-03;187;2748,05;660,90;0,00;PERFUMARIA
21;1;2026-05-01;249;3679,28;903,96;30,90;PAS
21;3;2026-05-01;452;5538,18;1251,24;138,60;SECA DOCE
21;4;2026-05-01;363;4180,63;1408,21;34,23;SECA SALG
21;5;2026-05-01;520;9356,08;2735,52;71,45;PADARIA
21;6;2026-05-01;649;46521,54;2662,07;0,00;AÇOUGUE
21;7;2026-05-01;539;8831,25;1597,98;313,41;LIQUIDA
21;8;2026-05-01;335;6242,19;965,30;407,00;COMMODITIES
21;9;2026-05-01;679;10438,35;1966,30;0,00;FLV
21;10;2026-05-01;112;1897,91;603,99;1,50;BAZAR
21;15;2026-05-01;1;10,00;3,25;0,00;OUTROS
21;16;2026-05-01;163;2737,19;553,73;0,00;LIMPEZA
21;18;2026-05-01;176;3480,63;961,91;5,00;PERFUMARIA
21;1;2026-05-02;195;3129,44;770,57;20,70;PAS
21;3;2026-05-02;341;4806,76;1061,24;152,80;SECA DOCE
21;4;2026-05-02;297;4450,84;1466,10;21,65;SECA SALG
21;5;2026-05-02;433;8213,09;2361,93;254,70;PADARIA
21;6;2026-05-02;442;29987,74;3159,07;0,00;AÇOUGUE
21;7;2026-05-02;429;5970,54;972,47;66,40;LIQUIDA
21;8;2026-05-02;291;6362,71;632,73;30,33;COMMODITIES
21;9;2026-05-02;497;9058,17;1990,17;0,00;FLV
21;10;2026-05-02;81;1740,10;608,53;0,00;BAZAR
21;16;2026-05-02;133;2631,20;519,55;0,00;LIMPEZA
21;18;2026-05-02;144;2704,60;748,05;2,00;PERFUMARIA
21;1;2026-05-03;189;2652,90;687,93;30,80;PAS
21;3;2026-05-03;331;4142,36;853,56;82,90;SECA DOCE
21;4;2026-05-03;295;3227,02;1050,22;17,75;SECA SALG
21;5;2026-05-03;417;6618,24;1922,12;35,80;PADARIA
21;6;2026-05-03;444;25794,03;2565,42;0,00;AÇOUGUE
21;7;2026-05-03;416;5581,52;944,14;22,30;LIQUIDA
21;8;2026-05-03;283;5081,99;422,38;29,83;COMMODITIES
21;9;2026-05-03;562;8712,77;1986,71;0,00;FLV
21;10;2026-05-03;90;1744,52;594,78;0,00;BAZAR
21;15;2026-05-03;1;1,00;0,33;0,00;OUTROS
21;16;2026-05-03;147;2660,53;589,64;0,00;LIMPEZA
21;18;2026-05-03;151;2409,32;706,68;0,00;PERFUMARIA
23;1;2026-05-01;274;4332,67;1005,55;36,10;PAS
23;3;2026-05-01;458;5806,72;1201,64;137,10;SECA DOCE
23;4;2026-05-01;430;4595,33;1441,29;7,45;SECA SALG
23;5;2026-05-01;474;7888,47;2432,69;47,35;PADARIA
23;6;2026-05-01;667;39396,76;2801,05;0,00;AÇOUGUE
23;7;2026-05-01;585;10225,78;1956,38;560,32;LIQUIDA
23;8;2026-05-01;469;8408,65;1030,53;454,67;COMMODITIES
23;9;2026-05-01;715;10279,23;1794,18;0,00;FLV
23;10;2026-05-01;130;2610,44;819,93;0,00;BAZAR
23;15;2026-05-01;2;20,00;6,50;0,00;OUTROS
23;16;2026-05-01;193;3610,25;780,31;0,00;LIMPEZA
23;18;2026-05-01;215;3497,91;1016,90;4,00;PERFUMARIA
23;1;2026-05-02;234;2899,91;598,19;12,70;PAS
23;3;2026-05-02;410;4179,32;891,96;101,50;SECA DOCE
23;4;2026-05-02;339;3419,64;1053,56;14,85;SECA SALG
23;5;2026-05-02;425;6583,12;2051,99;218,10;PADARIA
23;6;2026-05-02;556;31210,49;2825,01;0,00;AÇOUGUE
23;7;2026-05-02;486;7115,38;1081,52;179,90;LIQUIDA
23;8;2026-05-02;393;6348,73;393,37;25,83;COMMODITIES
23;9;2026-05-02;623;8350,22;1807,24;0,00;FLV
23;10;2026-05-02;79;1287,64;404,85;0,00;BAZAR
23;15;2026-05-02;1;5,00;1,63;0,00;OUTROS
23;16;2026-05-02;134;2101,02;488,55;0,00;LIMPEZA
23;18;2026-05-02;162;2300,85;609,74;2,00;PERFUMARIA
23;1;2026-05-03;233;3279,96;759,36;19,70;PAS
23;3;2026-05-03;402;4681,23;1030,30;98,80;SECA DOCE
23;4;2026-05-03;360;3716,05;1147,47;10,25;SECA SALG
23;5;2026-05-03;424;6630,59;2011,52;152,80;PADARIA
23;6;2026-05-03;557;26240,13;2897,86;0,00;AÇOUGUE
23;7;2026-05-03;549;7146,12;1075,93;48,20;LIQUIDA
23;8;2026-05-03;408;6782,60;484,31;44,67;COMMODITIES
23;9;2026-05-03;568;7762,41;1730,94;0,00;FLV
23;10;2026-05-03;82;1200,55;390,89;0,00;BAZAR
23;15;2026-05-03;2;8,00;2,60;0,00;OUTROS
23;16;2026-05-03;154;2428,00;492,57;0,00;LIMPEZA
23;18;2026-05-03;196;3113,32;905,19;0,00;PERFUMARIA
26;1;2026-05-01;158;2534,53;664,62;18,30;PAS
26;3;2026-05-01;354;4248,43;1112,75;65,50;SECA DOCE
26;4;2026-05-01;277;3855,72;1167,78;18,17;SECA SALG
26;5;2026-05-01;410;6493,13;2076,91;45,65;PADARIA
26;6;2026-05-01;390;25933,62;2253,96;0,00;AÇOUGUE
26;7;2026-05-01;482;7339,68;1550,85;626,91;LIQUIDA
26;8;2026-05-01;252;5095,70;681,80;391,00;COMMODITIES
26;9;2026-05-01;430;5618,22;1026,56;0,00;FLV
26;10;2026-05-01;520;2095,75;703,90;0,00;BAZAR
26;16;2026-05-01;159;2825,83;582,65;0,00;LIMPEZA
26;18;2026-05-01;166;3394,97;976,08;5,50;PERFUMARIA
26;1;2026-05-02;160;2333,21;634,28;24,40;PAS
26;3;2026-05-02;259;2810,73;709,23;59,90;SECA DOCE
26;4;2026-05-02;255;3869,06;1184,49;12,49;SECA SALG
26;5;2026-05-02;391;6137,58;1953,39;220,87;PADARIA
26;6;2026-05-02;327;19706,78;2115,79;0,00;AÇOUGUE
26;7;2026-05-02;419;6785,97;1224,81;320,03;LIQUIDA
26;8;2026-05-02;212;4478,57;633,20;373,67;COMMODITIES
